28/02/2025 14:21:37: 1, Low
28/02/2025 14:23:43: 0, Low
28/02/2025 14:23:44: 1, Low
28/02/2025 14:23:45: 0, Low
28/02/2025 14:23:46: 0, Low
28/02/2025 14:23:47: 0, Low
28/02/2025 14:23:48: 0, Low
28/02/2025 14:23:49: 0, Low
28/02/2025 14:23:51: 1, Low
28/02/2025 14:23:52: 0, Low
28/02/2025 14:23:53: 10507, Medium
28/02/2025 14:23:54: 19933, Medium
28/02/2025 14:23:55: 7609, Low
28/02/2025 14:23:56: 27134,  High
28/02/2025 14:23:57: 29837,  High
28/02/2025 14:23:58: 30598,  High
28/02/2025 14:23:59: 4323, Low
28/02/2025 14:24:00: 1693, Low
28/02/2025 14:24:01: 15153, Medium
28/02/2025 14:24:03: 18663, Medium
28/02/2025 14:24:04: 9457, Low
28/02/2025 14:24:05: 1, Low
28/02/2025 14:24:06: 0, Low
28/02/2025 14:24:07: 0, Low
28/02/2025 14:24:08: 0, Low
28/02/2025 14:24:09: 0, Low
28/02/2025 14:24:10: 0, Low
28/02/2025 14:24:11: 0, Low
28/02/2025 14:24:12: 0, Low
28/02/2025 14:24:13: 0, Low
28/02/2025 14:24:14: 1, Low
28/02/2025 14:24:15: 1, Low
28/02/2025 14:24:16: 0, Low
28/02/2025 14:24:17: 0, Low
28/02/2025 14:24:18: 0, Low
28/02/2025 14:24:19: 0, Low
28/02/2025 14:24:21: 0, Low
28/02/2025 14:24:22: 1, Low
28/02/2025 14:24:23: 0, Low
28/02/2025 14:24:24: 1, Low
28/02/2025 14:24:25: 0, Low
28/02/2025 14:24:26: 0, Low
28/02/2025 14:24:27: 0, Low
28/02/2025 14:24:28: 0, Low
28/02/2025 14:24:29: 0, Low
28/02/2025 14:24:30: 0, Low
28/02/2025 14:24:31: 0, Low
28/02/2025 14:24:32: 0, Low
28/02/2025 14:24:33: 1, Low
28/02/2025 14:24:34: 0, Low
28/02/2025 14:24:35: 0, Low
28/02/2025 14:24:36: 0, Low
28/02/2025 14:24:37: 1, Low
28/02/2025 14:24:38: 0, Low
28/02/2025 14:24:40: 0, Low
28/02/2025 14:24:41: 0, Low
28/02/2025 14:24:42: 1, Low
28/02/2025 14:24:43: 1, Low
28/02/2025 14:24:44: 0, Low
28/02/2025 14:24:45: 0, Low
28/02/2025 14:24:46: 1, Low
28/02/2025 14:24:47: 0, Low
28/02/2025 14:24:48: 0, Low
28/02/2025 14:24:49: 0, Low
28/02/2025 14:24:50: 0, Low
28/02/2025 14:24:51: 0, Low
28/02/2025 14:24:52: 0, Low
28/02/2025 14:24:53: 0, Low
28/02/2025 14:24:54: 1, Low
28/02/2025 14:24:55: 1, Low
28/02/2025 14:24:56: 0, Low
28/02/2025 14:24:57: 0, Low
28/02/2025 14:24:58: 0, Low
28/02/2025 14:25:10: 0, Low
28/02/2025 14:25:11: 0, Low
28/02/2025 14:25:12: 1, Low
28/02/2025 14:25:13: 1, Low
28/02/2025 14:25:14: 7832, Low
28/02/2025 14:25:15: 3323, Low
